idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
1008,485,-34.04938,-60.5844,22,35,22.8,0.83,10YR,3,2,NA,NA,NA,89.9122807017544
1014,488,-34.22639,-60.82222,0,14,21.6,2.03,10YR,2,2,10YR,5,2,91.2037037037037
1015,488,-34.22639,-60.82222,14,30,20.2,1.69,10YR,3,1,10YR,4,2,89.1089108910891
1021,489,-34.06869,-60.57708,0,16,31.5,3.14,10YR,2,1,NA,NA,NA,83.4920634920635
1022,489,-34.06869,-60.57708,16,33,34.3,2.81,10YR,3,1,NA,NA,NA,89.5043731778426
1028,490,-34.10701,-60.58571,0,14,20.8,2.05,10YR,3,1,NA,NA,NA,87.9807692307692
1029,490,-34.10701,-60.58571,14,28,22.4,2.19,10YR,2,1,NA,NA,NA,81.6964285714286
1037,491,-34.1144,-60.585,0,23,30.9,1.91,10YR,3,2,NA,NA,NA,96.7637540453075
1038,491,-34.1144,-60.585,23,44,42.1,0.25,10YR,4,2,NA,NA,NA,100
1041,492,-34.09788,-60.66163,0,13,17.5,1.57,10YR,5,2,10YR,6,1,100
1042,492,-34.09788,-60.66163,13,23,16.1,0.75,10YR,5,1,10YR,6,1,100
1043,492,-34.09788,-60.66163,23,58,27.3,0.44,10YR,3,2,NA,NA,NA,100
1048,493,-34.24905,-60.7815,0,33,32.4,3.27,10YR,2,1,NA,NA,NA,100
1051,494,-34.23132,-60.90022,0,10,28.2,2.87,10YR,3,2,10YR,6,1,82.2695035460993
1052,494,-34.23132,-60.90022,10,19,26.6,2.23,10YR,3,1,NA,NA,NA,81.5789473684211
1053,494,-34.23132,-60.90022,19,29,21.8,0.39,10YR,4,2,10YR,7,1,85.3211009174312
1060,496,-34.2531,-60.96188,0,16,20.4,2.1,10YR,3,2,10YR,5,2,78.921568627451
1061,496,-34.2531,-60.96188,16,36,19.9,1.6,10YR,3,1,NA,NA,NA,81.9095477386935
1067,497,-34.09736,-60.41727,0,19,28.6,2.1,10YR,2,1,NA,NA,NA,87.4125874125874
1068,497,-34.09736,-60.41727,19,28,23.8,1.23,10YR,3,4,NA,NA,NA,90.7563025210084
1075,498,-34.32261,-60.697,0,12,27.2,2.51,10YR,3,1,NA,NA,NA,84.1911764705882
1076,498,-34.32261,-60.697,12,27,22.8,1.97,10YR,2,1,NA,NA,NA,81.5789473684211
1082,499,-34.1807,-60.61943,0,18,21.9,1.98,10YR,3,1,NA,NA,NA,84.0182648401826
1083,499,-34.1807,-60.61943,18,25,NA,NA,10YR,2,1,NA,NA,NA,NA
1088,500,-34.22298,-60.64125,0,13,NA,NA,10YR,3,1,NA,NA,NA,NA
1089,500,-34.22298,-60.64125,13,24,NA,NA,10YR,2,1,NA,NA,NA,NA
1090,500,-34.22298,-60.64125,24,36,NA,NA,10YR,3,3,NA,NA,NA,NA
1094,501,-34.31031,-60.58914,0,20,33,3.32,10YR,3,1,NA,NA,NA,100
1095,501,-34.31031,-60.58914,20,43,30.6,2.16,10YR,3,1,NA,NA,NA,100
1102,502,-34.27481,-60.63965,0,17,19.6,1.7,10YR,4,2,10YR,6,1,100
1103,502,-34.27481,-60.63965,17,33,14.2,0.63,10YR,5,2,10YR,7,1,100
1108,503,-34.10278,-60.41667,0,14,22.8,2.26,10YR,3,2,10YR,4,3,91.2280701754386
1109,503,-34.10278,-60.41667,14,34,22.3,1.92,10YR,2,1,10YR,4,4,86.0986547085202
1117,504,-34.02086,-60.36551,0,15,24.9,1.65,10YR,3,2,NA,NA,NA,90.3614457831325
1118,504,-34.02086,-60.36551,15,27,29.8,1.24,10YR,3,1,NA,NA,NA,93.2885906040269
1124,506,-34.15,-60.33333,0,16,22.2,1.79,10YR,3,1,NA,NA,NA,88.2882882882883
1125,506,-34.15,-60.33333,16,26,22.1,1.34,10YR,2,1,NA,NA,NA,85.5203619909502
1132,507,-34.13869,-60.34217,0,13,22.6,1.93,10YR,2,2,NA,NA,NA,80.5309734513274
1133,507,-34.13869,-60.34217,13,33,20.7,0.8,10YR,2,1,NA,NA,NA,88.4057971014493
1138,508,-34.1425,-60.47695,0,14,21,1.63,10YR,3,2,10YR,6,1,100
1139,508,-34.1425,-60.47695,14,29,16,0.66,10YR,4,2,10YR,6,1,100
1144,509,-34.04668,-60.0192,0,30,25.1,1.63,10YR,3,1,10YR,3,2,91.6334661354582
1149,510,-34.22193,-60.14208,0,29,23.4,1.83,10YR,3,1,10YR,3,2,84.1880341880342
1156,511,-34.16591,-60.13758,0,13,29.3,4.65,10YR,2,2,NA,NA,NA,98.9761092150171
1157,511,-34.16591,-60.13758,13,38,24.5,1.95,10YR,2,2,NA,NA,NA,100
1165,512,-34.09186,-60.12411,0,8,24.3,1.8,10YR,3,2,10YR,2,2,92.1810699588477
1166,512,-34.09186,-60.12411,8,16,25.1,1.34,10YR,3,2,10YR,3,3,86.8525896414343
1167,512,-34.09186,-60.12411,16,28,32.7,1.13,10YR,3,2,10YR,2,2,80.4281345565749
1170,513,-34.00306,-60.09321,0,12,25.1,1.8,10YR,3,2,10YR,4,2,79.2828685258964
1171,513,-34.00306,-60.09321,12,20,23.9,1.38,10YR,3,1,10YR,3,3,84.9372384937239
1172,513,-34.00306,-60.09321,20,30,26.8,1.01,10YR,3,2,NA,NA,NA,91.4179104477612
1177,514,-34.22427,-60.16369,0,11,23.8,1.25,10YR,2,2,NA,NA,NA,83.6134453781513
1178,514,-34.22427,-60.16369,11,20,21.2,1.58,10YR,2,2,NA,NA,NA,85.3773584905661
1179,514,-34.22427,-60.16369,20,32,19.9,1.72,10YR,3,2,NA,NA,NA,89.9497487437186
1184,515,-34.32262,-60.1102,0,12,26.5,2.4,10YR,2,1,10YR,4.5,1,96.9811320754717
1185,515,-34.32262,-60.1102,12,30,24.4,2.27,10YR,2,2,NA,NA,NA,91.8032786885246
1193,516,-34.24498,-60.2288,0,18,22.2,2.1,10YR,3,2,NA,NA,NA,86.4864864864865
1194,516,-34.24498,-60.2288,18,27,20.8,1.61,10YR,3,1,NA,NA,NA,91.8269230769231
1202,517,-34.18691,-60.13773,0,12,20.7,1.88,10YR,2,2,NA,NA,NA,93.719806763285
1203,517,-34.18691,-60.13773,12,22,20.8,1.42,10YR,3,1,NA,NA,NA,93.2692307692308
1204,517,-34.18691,-60.13773,22,30,20,0.77,10YR,3,2,NA,NA,NA,92.5
1211,518,-34.17222,-60.44021,0,10,22.9,2.37,10YR,2,2,NA,NA,NA,93.0131004366812
1212,518,-34.17222,-60.44021,10,28,20.9,1.59,10YR,2,2,NA,NA,NA,92.3444976076555
1217,519,-34.29732,-60.447,0,12,20.3,2.03,10YR,2,2,NA,NA,NA,92.6108374384237
